,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
20,Salto Grande,Hydro,Reservoir,PP,AR,1890.0,,,0.0,0.0,0.0,1979.0,1979.0,2079.0,-31.2751,-57.9385,{nan},"{'GHPT': {'G604101'}, 'GEO': {'GEO-42224'}, 'GPD': {'ARG0000144'}}",47
21,Necochea,CCGT,CCGT,PP,AR,140.0,,,0.0,0.0,0.0,1973.0,1973.0,2013.0,-38.5785,-58.7109,"{nan, nan}","{'GGPT': {'L406453'}, 'GEO': {'GEO-42255'}, 'GPD': {'ARG0000008'}}",203
22,Piedra Del Aguila,Hydro,Reservoir,PP,AR,1424.0,,,0.0,0.0,0.0,1993.0,1993.0,2093.0,-40.1901,-69.9934,{nan},"{'GHPT': {'G600037'}, 'GEO': {'GEO-42215'}, 'GPD': {'ARG0000233'}}",283
23,Chocon,Hydro,Reservoir,PP,AR,1200.0,,,0.0,0.0,0.0,1972.0,1972.0,2072.0,-39.2653,-68.7556,{nan},"{'GHPT': {'G600025'}, 'GEO': {'GEO-42217'}, 'GPD': {'ARG0000255'}}",9
24,Pichi Picun Leufu,Hydro,Reservoir,PP,AR,285.0,,,0.0,0.0,0.0,1999.0,1999.0,2099.0,-40.0123,-69.9838,{nan},"{'GHPT': {'G600036'}, 'GEO': {'GEO-42216'}, 'GPD': {'ARG0000272'}}",288
25,Atucha,Nuclear,Steam Turbine,PP,AR,1107.0,,,0.0,0.0,0.0,1974.0,1974.0,2024.0,-33.967105000000004,-59.2084,"{nan, nan}","{'GNPT': {'G500502', 'G500382'}, 'GEO': {'GEO-2194'}, 'GPD': {'ARG0000029', 'ARG0000030'}}",115
26,Embalse,Nuclear,Steam Turbine,PP,AR,656.0,,,0.0,0.0,0.0,1984.0,1984.0,2034.0,-32.2316,-64.4422,{nan},"{'GNPT': {'G500385'}, 'GEO': {'GEO-3064'}, 'GPD': {'ARG0000112'}}",119
27,Cabra Corral,Hydro,Reservoir,PP,AR,104.0,,,0.0,0.0,0.0,1972.0,1972.0,2072.0,-25.2716,-65.3299,{nan},"{'GHPT': {'G600021'}, 'GEO': {'GEO-42226'}, 'GPD': {'ARG0000275'}}",176
28,Agua Del Toro,Hydro,Reservoir,PP,AR,150.0,,,0.0,0.0,0.0,1974.0,1974.0,2074.0,-34.5839,-69.0362,{nan},"{'GHPT': {'G600018'}, 'GEO': {'GEO-42310'}, 'GPD': {'ARG0000210'}}",41
29,Arroyito,Hydro,Reservoir,PP,AR,128.0,,,0.0,0.0,0.0,1983.0,1983.0,2083.0,-39.1067,-68.5857,{nan},"{'GHPT': {'G600020'}, 'GEO': {'GEO-42218'}, 'GPD': {'ARG0000254'}}",17
30,Planicie Banderita,Hydro,Reservoir,PP,AR,486.0,,,0.0,0.0,0.0,1972.0,1972.0,2072.0,-38.5595,-68.4744,{nan},"{'GHPT': {'G600038'}, 'GEO': {'GEO-42237'}, 'GPD': {'ARG0000241'}}",18
31,Alicura,Hydro,Reservoir,PP,AR,1040.0,,,0.0,0.0,0.0,1984.0,1984.0,2084.0,-40.5841,-70.7476,{nan},"{'GHPT': {'G600019'}, 'GEO': {'GEO-42214'}, 'GPD': {'ARG0000230'}}",289
32,Futaleufu,Hydro,Reservoir,PP,AR,472.0,,,0.0,0.0,0.0,1978.0,1978.0,2078.0,-43.129,-71.6299,{nan},"{'GHPT': {'G600027'}, 'GEO': {'GEO-42236'}, 'GPD': {'ARG0000080'}}",80
33,Los Caracoles,Hydro,Reservoir,PP,AR,125.0,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,-31.5192,-68.9814,{nan},"{'GHPT': {'G600032'}, 'GEO': {'GEO-42260'}, 'GPD': {'ARG0000296'}}",430
34,Los Reyunos,Hydro,Reservoir,Store,AR,224.0,,,0.0,0.0,0.0,1984.0,1984.0,2084.0,-34.6015,-68.641,{nan},"{'GHPT': {'G600033'}, 'GEO': {'GEO-42311'}, 'GPD': {'ARG0000212'}}",811
35,Nihuil,Hydro,Reservoir,PP,AR,131.0,,,0.0,0.0,0.0,1968.0,1968.0,2068.0,-34.9125,-68.6237,{nan},"{'GHPT': {'G600035'}, 'GEO': {'GEO-42308'}, 'GPD': {'ARG0000215', 'ARG0000216'}}",817
36,Epec Benjamin Reolin Argentina,Hydro,Reservoir,PP,AR,38.503184713375795,,,0.0,0.0,0.0,1966.0,1966.0,2066.0,-32.191,-64.323,"{nan, nan, nan}","{'GEO': {'GEO-42294'}, 'GPD': {'ARG0000085'}}",121
37,Epec San Francisco Argentina,Oil,Steam Turbine,PP,AR,36.12708432232672,,,0.0,0.0,0.0,1975.0,1975.0,2015.0,-31.4384,-62.1115,"{nan, nan}","{'GEO': {'GEO-42270'}, 'GPD': {'ARG0000105'}}",373
